dtVenda;vlVenda;cdCliente;cdProduto
08/04/2017 00:00;245.80;4629;3
9/22/2016 00:00:00;111.32;5758;5
12/03/2018 00:00;223.94;5393;5
9/16/2016 00:00:00;490.04;3160;4
12/05/2018 00:00;393.78;4630;4
2/22/2018 00:00:00;122.49;7473;5
7/18/2017 00:00:00;659.13;4629;5
12/01/2017 00:00;163.85;7325;4
12/26/2016 00:00:00;790.48;5813;4
9/21/2017 00:00:00;898.72;3705;3
01/05/2017 00:00;164.00;9385;5
1/19/2017 00:00:00;909.47;7473;4
08/12/2017 00:00;660.27;2650;5
08/08/2018 00:00;454.15;9670;5
08/12/2018 00:00;187.75;9385;4
2/26/2016 00:00:00;772.92;5393;4
10/02/2018 00:00;774.28;6682;4
1/16/2017 00:00:00;592.00;8671;5
07/03/2016 00:00;157.47;3160;5
7/30/2018 00:00:00;254.18;7108;4
5/20/2018 00:00:00;788.37;5758;5
10/17/2016 00:00:00;360.26;5194;5
7/23/2017 00:00:00;634.51;5543;4
6/29/2018 00:00:00;759.29;5393;5
11/16/2017 00:00:00;536.16;8796;5
07/11/2016 00:00;866.00;5543;5
4/19/2017 00:00:00;889.72;5813;5
3/20/2018 00:00:00;740.55;2842;4
7/29/2016 00:00:00;926.41;3808;3
5/19/2017 00:00:00;895.97;3705;4
8/30/2017 00:00:00;518.31;7325;5
10/12/2016 00:00;599.80;5813;5
08/10/2018 00:00;118.54;2650;5
06/11/2017 00:00;385.14;6682;5
7/20/2018 00:00:00;740.97;9670;4
7/29/2018 00:00:00;911.20;5194;5
10/28/2016 00:00:00;704.93;5608;4
8/27/2017 00:00:00;337.73;9670;5
10/30/2017 00:00:00;879.28;5543;4
6/16/2016 00:00:00;751.92;7325;5
3/16/2016 00:00:00;315.88;4629;4
05/03/2017 00:00;447.57;5608;5
08/11/2016 00:00;296.80;4630;5
01/07/2017 00:00;242.92;3808;4
4/29/2018 00:00:00;782.86;2842;4
8/26/2018 00:00:00;809.71;5393;5
07/06/2017 00:00;571.71;4725;5
03/11/2017 00:00;258.18;5758;4
10/10/2017 00:00;856.74;2842;5
11/22/2016 00:00:00;796.40;7325;4
06/12/2016 00:00;185.72;8796;5
09/03/2018 00:00;956.58;9670;5
06/06/2017 00:00;916.14;7215;5
2/17/2017 00:00:00;422.30;6763;5
5/20/2016 00:00:00;620.37;6763;5
3/25/2016 00:00:00;303.35;5543;5
01/12/2016 00:00;526.27;8671;5
5/25/2016 00:00:00;392.99;4629;5
11/15/2016 00:00:00;716.51;5813;5
04/08/2018 00:00;358.22;4630;5
9/14/2017 00:00:00;815.57;3160;5
3/22/2017 00:00:00;832.65;4725;4
9/24/2016 00:00:00;718.95;5608;4
7/25/2016 00:00:00;541.77;4725;5
8/20/2016 00:00:00;850.70;4725;4
05/09/2017 00:00;735.95;9670;4
3/30/2018 00:00:00;426.00;4630;5
5/29/2017 00:00:00;339.55;9385;5
1/19/2016 00:00:00;915.07;5608;5
7/21/2018 00:00:00;873.02;5813;4
1/24/2017 00:00:00;237.69;7325;5
11/08/2016 00:00;594.82;7215;5
11/18/2018 00:00:00;819.77;4630;5
8/16/2016 00:00:00;475.36;8796;4
05/01/2018 00:00;959.82;6763;5
06/02/2018 00:00;659.88;5393;5
06/03/2017 00:00;927.36;5543;5
6/28/2018 00:00:00;165.47;3808;5
1/31/2016 00:00:00;904.62;5608;4
12/13/2017 00:00:00;994.29;4725;5
7/20/2016 00:00:00;573.50;5194;5
10/02/2018 00:00;471.37;9670;5
9/28/2017 00:00:00;790.59;5813;5
7/16/2018 00:00:00;360.09;5608;5
07/01/2018 00:00;425.76;7473;4
11/03/2018 00:00;545.49;4725;5
10/12/2016 00:00;361.50;4725;5
04/09/2018 00:00;960.98;7325;4
4/30/2017 00:00:00;152.22;4725;5
11/23/2016 00:00:00;669.50;4629;5
11/04/2017 00:00;233.45;2650;4
08/10/2017 00:00;908.34;9385;5
03/11/2016 00:00;895.73;3160;3
05/10/2018 00:00;855.78;3705;4
12/07/2016 00:00;367.90;5543;4
1/14/2018 00:00:00;388.57;3808;5
4/30/2017 00:00:00;606.79;5194;5
4/14/2016 00:00:00;151.71;7473;4
4/14/2018 00:00:00;804.50;9670;5
03/05/2016 00:00;481.21;8796;5
01/01/2016 00:00;455.18;9670;5
2/17/2017 00:00:00;836.27;3808;5
12/23/2018 00:00:00;849.58;9670;5
11/17/2018 00:00:00;369.85;9385;5
8/27/2017 00:00:00;665.36;9385;3
05/01/2018 00:00;348.32;8796;5
12/22/2017 00:00:00;933.97;5543;5
05/05/2017 00:00;321.05;9385;5
11/23/2016 00:00:00;875.70;6763;5
4/25/2017 00:00:00;558.88;4630;5
9/23/2018 00:00:00;678.86;8671;5
08/10/2016 00:00;379.34;5194;5
10/20/2016 00:00:00;554.02;8796;5
7/25/2017 00:00:00;125.28;8671;5
3/20/2017 00:00:00;868.36;9385;5
08/08/2017 00:00;244.60;4630;5
6/27/2016 00:00:00;880.82;8671;5
11/11/2017 00:00;554.05;7215;5
9/27/2018 00:00:00;419.77;7215;4
11/29/2017 00:00:00;843.94;6763;5
07/07/2018 00:00;242.85;6682;5
07/11/2017 00:00;606.07;5758;4
03/12/2018 00:00;985.47;5393;4
3/29/2018 00:00:00;658.26;8796;4
7/22/2016 00:00:00;635.70;2842;4
6/26/2017 00:00:00;895.88;6763;5
11/14/2018 00:00:00;889.36;2842;5
6/22/2016 00:00:00;229.06;3160;5
5/24/2018 00:00:00;763.28;8796;4
4/19/2018 00:00:00;331.13;4725;5
01/12/2017 00:00;662.11;7215;5
06/05/2017 00:00;428.04;2650;5
7/19/2017 00:00:00;994.06;5393;4
06/04/2017 00:00;932.84;7473;5
6/23/2018 00:00:00;342.93;4725;5
02/02/2016 00:00;667.33;6682;5
7/24/2017 00:00:00;824.69;5194;4
09/06/2018 00:00;425.07;3160;5
06/12/2018 00:00;947.97;9670;5
4/27/2017 00:00:00;817.20;9670;4
12/09/2016 00:00;778.92;5393;5
10/10/2016 00:00;139.06;9385;5
8/20/2016 00:00:00;690.58;3160;5
04/07/2017 00:00;493.34;8671;3
1/14/2018 00:00:00;187.94;4629;5
5/19/2017 00:00:00;310.67;4629;5
02/07/2018 00:00;955.75;5393;5
7/24/2016 00:00:00;132.41;3808;5
12/28/2016 00:00:00;507.46;3808;4
8/21/2018 00:00:00;264.96;4629;5
05/07/2018 00:00;273.55;7325;4
03/09/2018 00:00;508.06;3808;4
12/03/2017 00:00;181.08;5813;5
09/09/2017 00:00;530.21;3705;4
12/19/2018 00:00:00;609.03;2650;4
06/09/2016 00:00;813.32;3808;5
4/15/2018 00:00:00;790.94;8671;5
9/22/2018 00:00:00;535.69;5393;5
12/20/2018 00:00:00;418.99;3160;5
11/18/2016 00:00:00;873.32;2650;4
05/09/2016 00:00;709.83;9385;5
12/22/2016 00:00:00;268.25;5393;5
5/13/2018 00:00:00;313.96;5543;5
10/08/2016 00:00;236.44;4725;4
12/15/2016 00:00:00;119.24;7325;4
5/15/2016 00:00:00;210.01;5393;5
9/16/2017 00:00:00;631.44;4629;5
5/18/2017 00:00:00;988.35;4630;5
04/05/2018 00:00;166.69;2842;4
01/04/2018 00:00;944.94;5194;4
05/03/2016 00:00;459.09;7325;5
1/26/2016 00:00:00;796.93;4629;5
6/28/2018 00:00:00;623.12;4630;5
12/22/2016 00:00:00;900.86;8796;5
2/27/2017 00:00:00;627.31;7215;5
03/08/2018 00:00;828.92;7473;4
04/06/2017 00:00;822.49;8671;4
12/03/2018 00:00;141.08;6682;3
12/20/2017 00:00:00;288.50;6682;5
07/01/2016 00:00;993.08;2842;5
11/17/2016 00:00:00;792.68;7108;5
10/12/2017 00:00;899.99;5813;5
6/23/2017 00:00:00;612.70;8796;4
1/20/2018 00:00:00;776.93;5543;5
11/20/2017 00:00:00;286.52;2650;4
12/21/2016 00:00:00;996.04;5813;4
4/27/2018 00:00:00;606.50;7473;5
9/24/2016 00:00:00;127.51;7108;4
01/09/2017 00:00;224.00;7108;4
11/19/2016 00:00:00;502.71;6763;5
12/06/2017 00:00;321.35;5758;4
9/28/2017 00:00:00;962.17;7215;5
8/14/2018 00:00:00;388.94;4630;5
11/14/2017 00:00:00;367.48;5608;4
1/20/2018 00:00:00;299.60;5393;4
09/09/2018 00:00;401.61;4629;5
05/02/2018 00:00;740.28;5543;5
10/16/2018 00:00:00;327.42;3808;5
02/03/2016 00:00;926.87;2842;4
10/22/2018 00:00:00;850.76;2650;5
7/16/2018 00:00:00;237.59;4629;5
11/05/2017 00:00;964.91;7473;4
3/19/2017 00:00:00;164.29;7473;5
12/28/2017 00:00:00;454.80;4629;5
12/15/2016 00:00:00;517.87;7215;5
04/02/2018 00:00;466.26;5608;5
3/16/2016 00:00:00;794.83;2842;5
6/19/2017 00:00:00;473.11;8671;4
07/07/2017 00:00;801.52;5194;4
4/21/2018 00:00:00;526.48;7325;4
10/07/2018 00:00;543.22;7108;3
02/02/2018 00:00;566.02;2842;5
7/25/2016 00:00:00;449.11;4630;5
10/08/2016 00:00;808.92;5608;5
5/23/2018 00:00:00;755.28;6763;5
06/11/2017 00:00;440.37;5758;5
09/11/2016 00:00;359.08;3705;5
3/27/2017 00:00:00;786.84;6682;4
5/19/2017 00:00:00;617.90;5608;5
09/08/2016 00:00;955.01;6682;5
05/11/2018 00:00;685.11;8796;5
8/31/2018 00:00:00;449.73;9670;3
02/02/2017 00:00;759.72;2842;5
04/03/2016 00:00;178.51;5543;5
11/09/2017 00:00;552.20;5393;5
11/23/2018 00:00:00;844.56;3705;5
10/02/2016 00:00;529.35;5543;4
02/01/2016 00:00;290.94;6763;5
5/13/2018 00:00:00;866.75;4629;5
7/18/2018 00:00:00;476.03;2842;4
12/12/2018 00:00;485.64;7473;4
09/07/2016 00:00;197.10;5758;4
5/28/2016 00:00:00;582.49;5543;5
1/16/2016 00:00:00;600.80;9385;5
1/14/2016 00:00:00;987.47;6763;5
10/09/2018 00:00;385.59;4629;5
4/20/2016 00:00:00;753.23;6763;5
5/14/2017 00:00:00;453.94;7215;4
10/02/2016 00:00;991.09;3705;5
09/01/2017 00:00;466.70;5194;5
8/14/2017 00:00:00;520.33;7108;5
05/11/2016 00:00;839.68;2650;5
4/21/2017 00:00:00;462.66;6763;5
11/22/2018 00:00:00;934.77;4629;4
7/19/2016 00:00:00;892.04;3160;5
08/10/2018 00:00;360.69;9385;5
04/05/2017 00:00;726.71;7325;5
12/05/2017 00:00;129.21;8796;5
5/15/2018 00:00:00;799.49;5608;4
5/18/2017 00:00:00;654.20;5543;5
10/13/2018 00:00:00;763.63;2650;5
03/08/2016 00:00;637.29;6763;5
03/08/2017 00:00;345.51;6682;4
6/14/2017 00:00:00;991.35;6682;5
04/12/2017 00:00;512.40;7325;5
07/01/2018 00:00;192.46;9385;4
04/02/2018 00:00;805.05;6682;5
2/23/2018 00:00:00;931.82;3808;5
01/05/2016 00:00;504.02;3160;4
7/30/2018 00:00:00;723.26;9670;5
10/23/2018 00:00:00;584.21;5194;5
05/11/2017 00:00;762.28;8671;4
3/13/2018 00:00:00;953.00;5608;5
3/14/2017 00:00:00;557.22;6682;5
9/28/2016 00:00:00;312.72;2842;5
03/03/2016 00:00;147.75;5813;5
2/26/2017 00:00:00;829.30;6763;5
03/10/2016 00:00;705.51;2842;5
2/15/2018 00:00:00;631.53;8796;4
11/02/2017 00:00;567.26;3808;4
3/23/2017 00:00:00;119.10;5393;5
08/05/2016 00:00;243.23;7473;5
05/06/2016 00:00;275.25;3808;5
4/16/2016 00:00:00;349.18;9385;5
01/12/2017 00:00;305.38;2650;5
01/10/2016 00:00;464.82;5543;5
3/13/2017 00:00:00;839.26;3705;5
08/03/2018 00:00;196.68;8671;5
01/05/2018 00:00;877.26;8796;5
08/02/2018 00:00;328.43;4629;5
12/10/2016 00:00;449.67;3160;4
10/09/2018 00:00;385.37;6763;5
06/10/2018 00:00;964.02;9385;5
7/31/2016 00:00:00;845.29;7215;4
7/25/2016 00:00:00;507.82;5393;5
8/15/2016 00:00:00;126.32;2842;5
11/10/2017 00:00;561.53;5813;4
6/13/2018 00:00:00;791.08;5393;5
11/27/2016 00:00:00;439.44;2650;5
02/09/2018 00:00;783.44;4629;5
01/01/2016 00:00;730.34;4725;5
01/05/2016 00:00;427.83;2650;4
7/17/2018 00:00:00;448.61;6763;5
2/26/2016 00:00:00;760.55;4630;5
6/23/2016 00:00:00;467.45;4630;4
02/06/2018 00:00;910.97;2842;3
1/23/2017 00:00:00;425.97;6682;5
11/08/2016 00:00;486.26;8796;5
11/15/2016 00:00:00;946.84;8796;5
12/24/2018 00:00:00;822.93;2842;5
10/14/2016 00:00:00;661.71;7473;4
06/07/2017 00:00;153.88;7108;5
11/24/2018 00:00:00;473.75;5608;3
7/22/2018 00:00:00;510.11;6682;5
02/06/2016 00:00;131.08;8671;5
01/10/2016 00:00;206.71;4629;4
9/18/2018 00:00:00;385.29;9385;5
